epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,47598.2,1.09382,0.85294,1.29753,0.89596,0.63169,0.76351,0.53764,1.40798,1.12996,1.46617,0.00037135,0.00037135,0.00037135
129,47851.8,1.08837,0.83582,1.27774,0.87764,0.64638,0.76058,0.53212,1.42865,1.15841,1.47436,0.0003664,0.0003664,0.0003664
130,48091.8,1.11926,0.8545,1.28709,0.88571,0.62854,0.75924,0.53379,1.42003,1.13275,1.48168,0.00036145,0.00036145,0.00036145
131,48337.8,1.15207,0.87016,1.31975,0.92731,0.62854,0.76089,0.53105,1.44851,1.13404,1.49444,0.0003565,0.0003565,0.0003565
132,48577.6,1.14451,0.87369,1.32359,0.86818,0.63589,0.75754,0.5259,1.42705,1.14751,1.48792,0.00035155,0.00035155,0.00035155
133,48808.9,1.11862,0.84272,1.29909,0.89408,0.62888,0.75711,0.53857,1.40069,1.1468,1.46498,0.0003466,0.0003466,0.0003466
134,49041,1.11898,0.85099,1.29093,0.87958,0.65145,0.76657,0.53725,1.40202,1.13754,1.4569,0.00034165,0.00034165,0.00034165
135,49272.9,1.13518,0.85461,1.31154,0.89778,0.62959,0.75954,0.52997,1.42095,1.14088,1.4848,0.0003367,0.0003367,0.0003367
136,49504.9,1.11493,0.85243,1.28964,0.88601,0.63903,0.7626,0.5382,1.39687,1.13016,1.46331,0.00033175,0.00033175,0.00033175
137,49736.8,1.10979,0.84864,1.29152,0.87103,0.63779,0.75804,0.5404,1.39359,1.13166,1.45932,0.0003268,0.0003268,0.0003268
138,49969.3,1.1135,0.84628,1.29057,0.89314,0.64021,0.75869,0.53854,1.41075,1.12542,1.46942,0.00032185,0.00032185,0.00032185
139,50201.3,1.117,0.85174,1.29322,0.89307,0.65373,0.77087,0.54108,1.38425,1.11334,1.46152,0.0003169,0.0003169,0.0003169
140,50434.7,1.12872,0.86638,1.30502,0.89603,0.64204,0.76309,0.53496,1.42707,1.1371,1.48431,0.00031195,0.00031195,0.00031195
141,50666,1.0906,0.84578,1.29461,0.89016,0.64323,0.76127,0.54426,1.39683,1.12777,1.46784,0.000307,0.000307,0.000307
142,50898.4,1.09092,0.83622,1.28148,0.88259,0.65163,0.76816,0.53361,1.42148,1.12262,1.47074,0.00030205,0.00030205,0.00030205
