epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,1516.57,0.79994,0.5112,0.96602,0.941,0.86,0.9237,0.72033,0.85911,0.50557,1.01239,0.00076735,0.00076735,0.00076735
96,1538.09,0.81674,0.5192,0.97661,0.92168,0.8633,0.92152,0.72199,0.85609,0.51085,1.00368,0.000764875,0.000764875,0.000764875
97,1555.04,0.81323,0.51236,0.97116,0.94436,0.85141,0.92363,0.71917,0.85713,0.50231,1.0121,0.0007624,0.0007624,0.0007624
98,1571.54,0.81068,0.5131,0.96503,0.94089,0.85821,0.9244,0.72162,0.84879,0.50119,1.0076,0.000759925,0.000759925,0.000759925
99,1587.25,0.79696,0.50785,0.965,0.95483,0.84013,0.92216,0.71902,0.85161,0.5113,1.00818,0.00075745,0.00075745,0.00075745
100,1607.14,0.81817,0.51634,0.97513,0.96001,0.84293,0.92135,0.72251,0.85043,0.50525,1.00745,0.000754975,0.000754975,0.000754975
101,1622.9,0.80579,0.51059,0.96265,0.95812,0.84326,0.92219,0.71898,0.85698,0.49224,1.00834,0.0007525,0.0007525,0.0007525
102,1638.37,0.80521,0.51415,0.96582,0.95702,0.84514,0.92256,0.72024,0.84927,0.50313,1.00329,0.000750025,0.000750025,0.000750025
103,1654.23,0.8174,0.50589,0.98025,0.96081,0.84535,0.92371,0.72548,0.83944,0.48794,1.00219,0.00074755,0.00074755,0.00074755
104,1670.39,0.79333,0.49094,0.96664,0.94519,0.85414,0.92252,0.72169,0.8596,0.50216,1.01174,0.000745075,0.000745075,0.000745075
105,1686.69,0.79344,0.49393,0.96137,0.95702,0.85158,0.92643,0.73142,0.82831,0.49049,0.99878,0.0007426,0.0007426,0.0007426
106,1703.17,0.80476,0.50739,0.9698,0.94359,0.84953,0.9217,0.72654,0.83763,0.49596,1.00254,0.000740125,0.000740125,0.000740125
107,1719.14,0.79642,0.50295,0.96574,0.95596,0.85329,0.92183,0.72214,0.84205,0.49844,1.00473,0.00073765,0.00073765,0.00073765
108,1735.03,0.78802,0.5028,0.97046,0.95398,0.85782,0.92705,0.72384,0.85174,0.4976,1.01024,0.000735175,0.000735175,0.000735175
109,1751.31,0.77508,0.49111,0.9568,0.95753,0.84808,0.92612,0.72794,0.84422,0.48925,1.00659,0.0007327,0.0007327,0.0007327
110,1766.97,0.81684,0.51719,0.97772,0.95768,0.85117,0.92344,0.72368,0.84626,0.48696,1.00592,0.000730225,0.000730225,0.000730225
111,1783.06,0.78776,0.49813,0.96542,0.96419,0.84389,0.92485,0.72342,0.8562,0.4996,1.01571,0.00072775,0.00072775,0.00072775
112,1798.48,0.78347,0.49204,0.95802,0.95874,0.84201,0.92504,0.72641,0.84689,0.49444,1.00383,0.000725275,0.000725275,0.000725275
113,1814.21,0.78621,0.50056,0.96038,0.93813,0.85956,0.92373,0.72533,0.84255,0.49861,0.99799,0.0007228,0.0007228,0.0007228
114,1829.78,0.78063,0.48649,0.95781,0.94028,0.85879,0.92181,0.72142,0.85274,0.48448,1.00819,0.000720325,0.000720325,0.000720325
115,1845.24,0.80565,0.51121,0.97013,0.94952,0.85893,0.92427,0.72329,0.85177,0.48546,1.0027,0.00071785,0.00071785,0.00071785
116,1860.77,0.7922,0.49803,0.95955,0.95749,0.84953,0.92528,0.73101,0.85038,0.48908,1.0022,0.000715375,0.000715375,0.000715375
117,1876.39,0.79225,0.49818,0.95676,0.95021,0.85141,0.92277,0.72237,0.85154,0.49303,1.00874,0.0007129,0.0007129,0.0007129
118,1892.03,0.80687,0.50304,0.97025,0.94128,0.86082,0.92551,0.72297,0.8534,0.48945,1.00241,0.000710425,0.000710425,0.000710425
119,1907.68,0.78899,0.51676,0.96027,0.94864,0.84138,0.92368,0.72613,0.852,0.49909,1.0026,0.00070795,0.00070795,0.00070795
120,1923.17,0.80314,0.50151,0.96701,0.9544,0.85288,0.92648,0.72908,0.84591,0.48765,1.00309,0.000705475,0.000705475,0.000705475
121,1938.9,0.77826,0.48582,0.95754,0.95861,0.84075,0.9237,0.72761,0.83365,0.49133,0.99781,0.000703,0.000703,0.000703
